Name,Email,Phone,City,Education,Experience_Years,Job_Applied,Job Sector,Company_Applied,Work_Mode,Job_Type_Preference,Referral,Skills,GitHub_Profile,LinkedIn_Profile,Resume_Link,Source_Job_Portal,Current_Job_Title,Notice_Period,Application Status
Karen Rodriguez,beckereric@yahoo.com, +91 77911 65646,Jaipur,B.Tech,7,Marketing Executive,Non-IT,PwC,Remote,Full-Time,Yes,"digital marketing, SEO/SEM, social media marketing, content creation, email campaigns, Google Analytics, branding",https://github.com/user9540,https://linkedin.com/in/user2324,https://www.smith-stewart.info/,Glassdoor,UI/UX Designer,30 days,Under Review
Jennifer Phillips,briggsdonald@burke.com, +91 93235 41976,Pune,M.Tech,4,Software Engineer,IT ,EY,Hybrid,Full-Time,No,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user8200,https://linkedin.com/in/user5070,https://www.roberson.com/,Indeed,DevOps Engineer,30 days,Offer Received
Adam Moore,kingamanda@yahoo.com, +91 81937 26778,Hyderabad,Diploma,6,DevOps Engineer,IT ,Microsoft,Remote,Part-Time,No,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user2640,https://linkedin.com/in/user5024,http://www.austin.com/,Indeed,UI/UX Designer,15 days,Interview Scheduled
Joshua Davis,waltondebra@fuller.com,+91 68694 98586,Ahmedabad,MBA,8,DevOps Engineer,IT ,Infosys,Onsite,Full-Time,Yes,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user1476,https://linkedin.com/in/user2626,https://www.hernandez.info/,LinkedIn,Data Analyst,Serving Notice,Rejected
Andrew Harrell,kristinahuber@gmail.com, +91 81600 47115,Chennai,M.Tech,3,Software Engineer,IT ,Accenture,Hybrid,Full-Time,No,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user8814,https://linkedin.com/in/user5398,http://juarez.info/,LinkedIn,UI/UX Designer,15 days,Applied
Ryan Jones,mikayla71@robertson.com, +91 97027 77861,Pune,M.Tech,8,Product Manager,Non-IT,EY,Hybrid,Full-Time,No,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user9118,https://linkedin.com/in/user4537,http://www.vance-cain.biz/,Naukri.com,UI/UX Designer,30 days,Applied
Teresa Wilson,morrisvictor@cox-wilcox.org,+91 64015 27152,Pune,B.Tech,7,Sales Manager,Non-IT,Google,Onsite,Full-Time,Yes,"sales strategy, lead generation, CRM, negotiation, client relationship management, communication",https://github.com/user7863,https://linkedin.com/in/user6924,http://weaver.info/,LinkedIn,Data Analyst,60 days,Rejected
Susan Lewis,lee70@jenkins-dalton.com,+91 97867 33552,Chennai,M.Tech,9,UI/UX Designer,IT ,Deloitte,Onsite,Internship,No,"wireframing, prototyping, Figma, Adobe XD, HTML, CSS, user research, usability testing",https://github.com/user9548,https://linkedin.com/in/user6080,https://hoffman-weiss.com/,Naukri.com,UI/UX Designer,Serving Notice,Applied
Jody Smith,orobinson@schneider-walker.org, +91 92360 87195,Jaipur,MCA,10,Product Manager,Non-IT,Tech Mahindra,Hybrid,Full-Time,Yes,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user3676,https://linkedin.com/in/user7261,http://www.hardy-bowen.net/,LinkedIn,UI/UX Designer,Serving Notice,Under Review
Timothy Romero,jessica40@gmail.com,+91 92962 08918,Jaipur,M.Sc,0,Software Engineer,IT ,Flipkart,Remote,Contract,No,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user7381,https://linkedin.com/in/user7129,http://lewis.com/,LinkedIn,Business Analyst,Serving Notice,Rejected
Gary Torres,zbecker@hotmail.com, +91 84484 00091,Hyderabad,B.Tech,1,HR Executive,Non-IT,Capgemini,Hybrid,Part-Time,Yes,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user9665,https://linkedin.com/in/user7237,https://gomez.net/,Indeed,Business Analyst,30 days,Rejected
Joseph Randall,jacobstammy@yahoo.com, +91 86714 24243,Kolkata,M.Sc,2,HR Executive,Non-IT,Capgemini,Onsite,Part-Time,No,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user6534,https://linkedin.com/in/user4502,http://www.bonilla.net/,Glassdoor,Business Analyst,60 days,Offer Received
Robert Moody,nealruth@hotmail.com, +91 93106 14783,Jaipur,BCA,7,Sales Manager,Non-IT,Amazon,Onsite,Remote,Yes,"sales strategy, lead generation, CRM, negotiation, client relationship management, communication",https://github.com/user8880,https://linkedin.com/in/user5581,http://www.sanchez-wilkins.com/,LinkedIn,DevOps Engineer,15 days,Offer Received
Leonard Simmons,tamaraparker@hotmail.com, +91 72491 38409,Chandigarh,B.Tech,5,Software Engineer,IT ,Cognizant,Remote,Part-Time,No,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user7470,https://linkedin.com/in/user7445,https://martinez-baker.info/,Internshala,Software Developer,30 days,Under Review
Rachel Fields,kathleenadams@best-garrett.info,+91 79647 23286,Hyderabad,Diploma,7,Product Manager,Non-IT,HCL Technologies,Onsite,Remote,No,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user8384,https://linkedin.com/in/user1660,http://escobar-richardson.biz/,Internshala,UI/UX Designer,60 days,Offer Received
Louis Harris,vbaker@ward.com, +91 81932 68199,Kolkata,BCA,10,Marketing Executive,Non-IT,Deloitte,Remote,Internship,Yes,"digital marketing, SEO/SEM, social media marketing, content creation, email campaigns, Google Analytics, branding",https://github.com/user3259,https://linkedin.com/in/user1139,https://cunningham.com/,Indeed,Business Analyst,Immediate,Rejected
Erin Wright,beltrannicole@gmail.com, +91 94656 48937,Chandigarh,M.Sc,5,Marketing Executive,Non-IT,KPMG,Hybrid,Remote,No,"digital marketing, SEO/SEM, social media marketing, content creation, email campaigns, Google Analytics, branding",https://github.com/user8047,https://linkedin.com/in/user5519,https://www.martinez.biz/,Glassdoor,UI/UX Designer,Serving Notice,Under Review
James Turner,jsosa@castillo.com,+91 64694 64555,Chandigarh,MBA,0,Business Analyst,IT ,BYJU'S,Hybrid,Full-Time,No,"requirements gathering, data analysis, SQL, documentation, process mapping, stakeholder management, MS Excel",https://github.com/user1036,https://linkedin.com/in/user5140,http://lang-smith.com/,Indeed,Data Analyst,60 days,Interview Scheduled
Maureen Vargas,tarasingleton@gmail.com,+91 65785 38602,Jaipur,M.Tech,2,Software Engineer,IT ,Infosys,Remote,Full-Time,No,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user8107,https://linkedin.com/in/user3406,http://lang.net/,Naukri.com,UI/UX Designer,30 days,Rejected
James Fisher,sandovalelizabeth@hughes-werner.info, +91 64335 95698,Chandigarh,MBA,8,Business Analyst,IT ,Deloitte,Hybrid,Full-Time,Yes,"requirements gathering, data analysis, SQL, documentation, process mapping, stakeholder management, MS Excel",https://github.com/user5044,https://linkedin.com/in/user8350,https://garcia.biz/,Indeed,UI/UX Designer,15 days,Applied
Christina Johnson,candaceharris@bush.info,+91 91096 91643,Bangalore,MCA,1,Business Analyst,IT ,Cognizant,Hybrid,Part-Time,No,"requirements gathering, data analysis, SQL, documentation, process mapping, stakeholder management, MS Excel",https://github.com/user3208,https://linkedin.com/in/user2072,https://www.kelly.com/,Glassdoor,UI/UX Designer,15 days,Interview Scheduled
Denise Thompson,ahood@hotmail.com, +91 82082 92165,Kolkata,MCA,10,Software Engineer,IT ,Microsoft,Onsite,Remote,No,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user5085,https://linkedin.com/in/user4767,https://www.cooper.com/,Naukri.com,Business Analyst,30 days,Under Review
Erika Woods,esantos@griffin.com,+91 94245 23203,Chandigarh,MBA,4,Software Engineer,IT ,Accenture,Onsite,Remote,No,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user9065,https://linkedin.com/in/user2938,http://www.wolfe.com/,LinkedIn,DevOps Engineer,60 days,Interview Scheduled
Bradley Freeman,leelynn@hotmail.com, +91 81978 71936,Mumbai,M.Sc,4,DevOps Engineer,IT ,Infosys,Hybrid,Full-Time,Yes,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user5894,https://linkedin.com/in/user9904,https://wolf.com/,Naukri.com,UI/UX Designer,Immediate,Applied
Melvin Smith,kathleen70@ryan.org, +91 90812 91481,Ahmedabad,B.Tech,10,Data Analyst,IT ,Google,Remote,Part-Time,Yes,"data cleaning, SQL, Excel, Python/R, Tableau/Power BI, statistics, reporting, visualization",https://github.com/user8554,https://linkedin.com/in/user1073,http://gilbert-morgan.biz/,LinkedIn,Software Developer,15 days,Rejected
Elizabeth Ball,alison17@barnes.net, +91 88567 83041,Pune,MBA,5,HR Executive,Non-IT,Infosys,Hybrid,Part-Time,Yes,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user6893,https://linkedin.com/in/user9362,http://www.gutierrez.org/,Indeed,Business Analyst,Serving Notice,Rejected
Virginia Anderson,ihickman@munoz-bean.info,+91 99086 21340,Chennai,B.Sc,9,Business Analyst,IT ,Cognizant,Onsite,Contract,Yes,"requirements gathering, data analysis, SQL, documentation, process mapping, stakeholder management, MS Excel",https://github.com/user4724,https://linkedin.com/in/user3145,http://wiggins-peck.com/,Glassdoor,Business Analyst,Serving Notice,Offer Received
James Quinn,masonjacob@norman.com, +91 70481 98485,Bangalore,M.Sc,8,Sales Manager,Non-IT,Amazon,Onsite,Contract,Yes,"sales strategy, lead generation, CRM, negotiation, client relationship management, communication",https://github.com/user2072,https://linkedin.com/in/user9020,http://www.ramirez.com/,LinkedIn,DevOps Engineer,15 days,Interview Scheduled
Nicholas Dean,cuevasdonald@hotmail.com,+91 87160 13339,Kolkata,M.Sc,1,Graphic Designer,IT ,Flipkart,Hybrid,Part-Time,Yes,"Adobe Photoshop, Illustrator, InDesign, CorelDRAW, creativity, typography, visual branding",https://github.com/user9634,https://linkedin.com/in/user4113,https://smith.com/,Indeed,Business Analyst,Serving Notice,Offer Received
Pam Fowler,elizabeth36@carter-hopkins.com, +91 70815 87704,Chennai,MCA,1,Data Analyst,IT ,Accenture,Onsite,Remote,No,"data cleaning, SQL, Excel, Python/R, Tableau/Power BI, statistics, reporting, visualization",https://github.com/user3149,https://linkedin.com/in/user7905,http://robinson.info/,Glassdoor,UI/UX Designer,60 days,Under Review
Emily Peterson,deborahlara@lopez.org, +91 80228 04606,Pune,M.Tech,4,Sales Manager,Non-IT,Swiggy,Remote,Internship,Yes,"sales strategy, lead generation, CRM, negotiation, client relationship management, communication",https://github.com/user1619,https://linkedin.com/in/user1654,https://www.burke-flores.com/,LinkedIn,Data Analyst,30 days,Offer Received
Stephen Carr,toni58@shepherd.org,+91 76243 92617,Ahmedabad,B.Sc,4,Sales Manager,Non-IT,Wipro,Remote,Internship,Yes,"sales strategy, lead generation, CRM, negotiation, client relationship management, communication",https://github.com/user9266,https://linkedin.com/in/user7587,http://scott.com/,Naukri.com,Business Analyst,30 days,Applied
Amy Cooper,joshua39@morse-singh.com, +91 73619 68956,Pune,M.Sc,8,DevOps Engineer,IT ,PwC,Hybrid,Full-Time,Yes,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user3673,https://linkedin.com/in/user7129,https://murphy-singleton.com/,LinkedIn,Software Developer,60 days,Applied
Charles Sullivan,brandonhernandez@hotmail.com, +91 60222 63882,Pune,Diploma,0,Marketing Executive,Non-IT,ZS Associates,Remote,Internship,Yes,"digital marketing, SEO/SEM, social media marketing, content creation, email campaigns, Google Analytics, branding",https://github.com/user7256,https://linkedin.com/in/user5629,https://rodriguez.com/,Naukri.com,Business Analyst,Serving Notice,Interview Scheduled
Bobby Lopez,npope@phillips-alvarado.com,+91 77723 67225,Chandigarh,MBA,2,HR Executive,Non-IT,PwC,Onsite,Full-Time,No,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user6967,https://linkedin.com/in/user3715,https://drake.biz/,LinkedIn,UI/UX Designer,60 days,Under Review
Diana Mcdowell,marksmith@gmail.com, +91 71247 30689,Ahmedabad,MCA,2,Marketing Executive,Non-IT,IBM,Onsite,Internship,No,"digital marketing, SEO/SEM, social media marketing, content creation, email campaigns, Google Analytics, branding",https://github.com/user9304,https://linkedin.com/in/user3379,http://www.thompson.com/,LinkedIn,Data Analyst,Serving Notice,Interview Scheduled
Amanda Miller,ingramanthony@gmail.com, +91 60984 61526,Ahmedabad,Diploma,5,Sales Manager,Non-IT,Infosys,Onsite,Full-Time,No,"sales strategy, lead generation, CRM, negotiation, client relationship management, communication",https://github.com/user6870,https://linkedin.com/in/user9184,http://rodriguez.com/,Indeed,UI/UX Designer,Serving Notice,Offer Received
Eric Whitaker,wlove@baker.com,+91 70121 50725,Kolkata,MBA,7,DevOps Engineer,IT ,Flipkart,Hybrid,Part-Time,No,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user5479,https://linkedin.com/in/user8710,http://wood-bean.com/,Glassdoor,DevOps Engineer,Serving Notice,Applied
Destiny Santos,paulwu@gmail.com,+91 66571 88434,Jaipur,Diploma,1,Business Analyst,IT ,Deloitte,Onsite,Part-Time,No,"requirements gathering, data analysis, SQL, documentation, process mapping, stakeholder management, MS Excel",https://github.com/user3234,https://linkedin.com/in/user2738,https://rogers.net/,Indeed,UI/UX Designer,15 days,Interview Scheduled
Ann Moses,debbie64@gmail.com, +91 86639 19426,Kolkata,B.Tech,0,HR Executive,Non-IT,KPMG,Hybrid,Full-Time,Yes,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user8535,https://linkedin.com/in/user9600,http://briggs-wright.com/,Indeed,Data Analyst,15 days,Rejected
Crystal Schneider,adamsheather@gmail.com, +91 94932 00301,Pune,Diploma,2,Product Manager,Non-IT,Amazon,Onsite,Contract,Yes,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user1124,https://linkedin.com/in/user6754,https://brown.com/,LinkedIn,Business Analyst,Serving Notice,Offer Received
Martha Ferguson,benjamin27@lopez.com, +91 92443 73673,Hyderabad,MBA,4,Marketing Executive,Non-IT,TCS,Onsite,Internship,No,"digital marketing, SEO/SEM, social media marketing, content creation, email campaigns, Google Analytics, branding",https://github.com/user7110,https://linkedin.com/in/user9424,https://www.young.com/,LinkedIn,Data Analyst,30 days,Interview Scheduled
David Jones,kelsey20@gmail.com,+91 83393 11350,Jaipur,B.Tech,0,HR Executive,Non-IT,Swiggy,Onsite,Internship,Yes,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user1753,https://linkedin.com/in/user2830,https://anderson.com/,LinkedIn,DevOps Engineer,Immediate,Offer Received
Teresa Jones,cobbjoseph@paul-patel.com, +91 93568 65508,Bangalore,B.Sc,2,Business Analyst,IT ,Microsoft,Hybrid,Contract,Yes,"requirements gathering, data analysis, SQL, documentation, process mapping, stakeholder management, MS Excel",https://github.com/user1938,https://linkedin.com/in/user2905,https://brown-wolf.com/,Indeed,DevOps Engineer,30 days,Rejected
Donald Jackson,williamjohnson@hotmail.com, +91 65960 14284,Delhi,MCA,7,DevOps Engineer,IT ,EY,Onsite,Remote,No,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user9409,https://linkedin.com/in/user4363,http://wright.info/,LinkedIn,DevOps Engineer,15 days,Interview Scheduled
Pamela Landry,pinedajulie@walker.com,+91 60846 42178,Delhi,M.Tech,9,Marketing Executive,Non-IT,Cognizant,Remote,Full-Time,Yes,"digital marketing, SEO/SEM, social media marketing, content creation, email campaigns, Google Analytics, branding",https://github.com/user4876,https://linkedin.com/in/user9558,http://sanchez.com/,LinkedIn,UI/UX Designer,30 days,Under Review
Patricia Ford,sethrichardson@butler.com, +91 80607 55653,Kolkata,M.Sc,3,Product Manager,Non-IT,Amazon,Onsite,Remote,Yes,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user8130,https://linkedin.com/in/user5844,https://www.proctor-carter.org/,Indeed,Software Developer,15 days,Offer Received
Catherine Lynch,jennifergonzalez@valentine-martinez.com, +91 61639 59191,Chandigarh,MBA,9,DevOps Engineer,IT ,IBM,Remote,Internship,No,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user1487,https://linkedin.com/in/user3695,https://yoder-porter.com/,Glassdoor,Software Developer,15 days,Offer Received
Rachel Gordon,justinsharp@gmail.com, +91 72695 78424,Mumbai,M.Sc,8,Business Analyst,IT ,Google,Hybrid,Part-Time,Yes,"requirements gathering, data analysis, SQL, documentation, process mapping, stakeholder management, MS Excel",https://github.com/user1040,https://linkedin.com/in/user6402,https://best.com/,LinkedIn,Data Analyst,15 days,Interview Scheduled
Kayla Rodriguez,codyjohnson@shelton.info,+91 81907 96331,Hyderabad,MCA,1,UI/UX Designer,IT ,Infosys,Onsite,Internship,Yes,"wireframing, prototyping, Figma, Adobe XD, HTML, CSS, user research, usability testing",https://github.com/user9728,https://linkedin.com/in/user9319,http://lewis.net/,Indeed,Software Developer,Serving Notice,Under Review
Brandi Thomas,lrice@gmail.com, +91 76024 58643,Chandigarh,M.Tech,0,Product Manager,Non-IT,TCS,Remote,Remote,Yes,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user8963,https://linkedin.com/in/user4528,http://hamilton.com/,Glassdoor,Software Developer,15 days,Applied
Anthony Rodriguez,sandra03@davis.info,+91 62021 60971,Pune,B.Sc,9,Software Engineer,IT ,PwC,Remote,Remote,No,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user1637,https://linkedin.com/in/user1839,https://rice.com/,Glassdoor,UI/UX Designer,Serving Notice,Under Review
Joshua Beard,jamescombs@gmail.com, +91 83098 68119,Hyderabad,BCA,2,Product Manager,Non-IT,TCS,Remote,Contract,No,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user7327,https://linkedin.com/in/user4289,http://ellis.com/,Internshala,UI/UX Designer,60 days,Offer Received
Todd Smith,martinezanthony@perez-warren.info, +91 98269 67609,Jaipur,B.Sc,1,UI/UX Designer,IT ,IBM,Onsite,Internship,No,"wireframing, prototyping, Figma, Adobe XD, HTML, CSS, user research, usability testing",https://github.com/user4112,https://linkedin.com/in/user5392,http://atkins.com/,Indeed,Data Analyst,Immediate,Offer Received
Jonathan Burch,aaron46@barnes.com,+91 77966 04847,Jaipur,Diploma,6,DevOps Engineer,IT ,BYJU'S,Remote,Remote,No,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user1131,https://linkedin.com/in/user1157,https://www.taylor-ruiz.com/,Glassdoor,Business Analyst,30 days,Rejected
Scott Gentry,ywilliams@gmail.com,+91 99413 34303,Hyderabad,B.Sc,6,Data Analyst,IT ,Infosys,Hybrid,Internship,No,"data cleaning, SQL, Excel, Python/R, Tableau/Power BI, statistics, reporting, visualization",https://github.com/user7248,https://linkedin.com/in/user4320,https://www.mack-gutierrez.net/,Indeed,Data Analyst,30 days,Interview Scheduled
Bonnie Guzman,lmartinez@thompson.org,+91 89580 13816,Chennai,M.Tech,3,HR Executive,Non-IT,Amazon,Remote,Part-Time,No,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user1413,https://linkedin.com/in/user3844,http://www.richards-gomez.com/,Naukri.com,UI/UX Designer,30 days,Interview Scheduled
Sydney Dominguez,stacywells@rojas.net, +91 65213 98455,Kolkata,MCA,4,Product Manager,Non-IT,TCS,Hybrid,Full-Time,No,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user6350,https://linkedin.com/in/user9525,http://padilla.net/,LinkedIn,Business Analyst,Immediate,Rejected
Gloria Wise,gregory65@gmail.com,+91 64477 46686,Jaipur,MBA,8,Data Analyst,IT ,EY,Remote,Full-Time,Yes,"data cleaning, SQL, Excel, Python/R, Tableau/Power BI, statistics, reporting, visualization",https://github.com/user8103,https://linkedin.com/in/user1619,https://abbott-robertson.biz/,Naukri.com,Data Analyst,60 days,Rejected
Bethany Mckee,upeters@bailey.info, +91 79395 93019,Ahmedabad,M.Tech,1,UI/UX Designer,IT ,IBM,Remote,Remote,Yes,"wireframing, prototyping, Figma, Adobe XD, HTML, CSS, user research, usability testing",https://github.com/user1015,https://linkedin.com/in/user2350,https://taylor.net/,Glassdoor,Business Analyst,Serving Notice,Applied
Larry Garrett,lisa74@johnson-waters.com,+91 98783 48154,Pune,B.Sc,10,Software Engineer,IT ,IBM,Hybrid,Part-Time,No,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user8692,https://linkedin.com/in/user1705,https://gross.biz/,Glassdoor,Business Analyst,30 days,Offer Received
April King,daniellekirby@yahoo.com, +91 86155 38602,Ahmedabad,BCA,10,Product Manager,Non-IT,HCL Technologies,Hybrid,Contract,Yes,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user6711,https://linkedin.com/in/user8398,http://castillo-johnson.com/,Indeed,UI/UX Designer,Immediate,Applied
Ronald Smith,mendezlisa@lewis.com, +91 99738 05679,Jaipur,M.Sc,10,Product Manager,Non-IT,Tech Mahindra,Remote,Remote,Yes,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user3844,https://linkedin.com/in/user1915,http://pierce-carey.com/,Naukri.com,Data Analyst,Serving Notice,Applied
Brittney Roberson,hlarson@ray.com,+91 82890 38113,Hyderabad,B.Tech,6,Software Engineer,IT ,Google,Onsite,Full-Time,Yes,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user6402,https://linkedin.com/in/user9341,http://www.phillips-west.com/,Naukri.com,DevOps Engineer,60 days,Under Review
Alan Williams,browndaniel@yahoo.com, +91 78533 52780,Kolkata,MBA,0,Marketing Executive,Non-IT,Microsoft,Remote,Full-Time,No,"digital marketing, SEO/SEM, social media marketing, content creation, email campaigns, Google Analytics, branding",https://github.com/user5534,https://linkedin.com/in/user5599,http://www.doyle.info/,Naukri.com,Software Developer,30 days,Applied
Sydney Rowe,hilljennifer@yahoo.com, +91 79738 94561,Ahmedabad,Diploma,9,Product Manager,Non-IT,ZS Associates,Remote,Internship,Yes,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user3056,https://linkedin.com/in/user9623,http://www.moore.net/,Glassdoor,DevOps Engineer,Serving Notice,Interview Scheduled
Brandon Lee,lori05@sweeney.net,+91 61410 02986,Hyderabad,M.Sc,0,Marketing Executive,Non-IT,Tech Mahindra,Onsite,Contract,Yes,"digital marketing, SEO/SEM, social media marketing, content creation, email campaigns, Google Analytics, branding",https://github.com/user3085,https://linkedin.com/in/user8040,http://www.haynes.net/,Indeed,DevOps Engineer,Serving Notice,Rejected
Linda Ortiz,jared55@brown.com,+91 61398 82673,Jaipur,MBA,3,UI/UX Designer,IT ,Infosys,Hybrid,Part-Time,No,"wireframing, prototyping, Figma, Adobe XD, HTML, CSS, user research, usability testing",https://github.com/user2805,https://linkedin.com/in/user6598,http://www.torres-martin.com/,Naukri.com,UI/UX Designer,15 days,Rejected
